"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5875","Search ""peran"" with valid data","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","0","Edit 'Pengguna'","chromium","2026-01-05","skipped","2026-01-05","Menu Pengguna","","",""
"","12993","[HR] Validate menu karyawan","chromium","2026-01-05","passed","2026-01-05","HR Karyawan Menu Tests","","",""
"","20278","[Performance] Can not submit before the assessment aspects are completed","chromium","2026-01-05","passed","2026-01-05","Supervisor Karyawan Menu Tests","","",""
"","10486","Search 'pengguna' with valid data","chromium","2026-01-05","failed","2026-01-05","Menu Pengguna","","",""
"","19770","[Supervisor] can see their employee","chromium","2026-01-05","passed","2026-01-05","Supervisor Karyawan Menu Tests","","",""
"","0","Delete 'Pengguna'","chromium","2026-01-05","skipped","2026-01-05","Menu Pengguna","","",""
"","11221","Validate ""Kelola hak akses""","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","5198","Validate menu profil","chromium","2026-01-05","passed","2026-01-05","Menu Profil","","",""
"","28701","[Director] can provide additional assesment","chromium","2026-01-05","passed","2026-01-05","Director Karyawan Menu Tests","","",""
"","33701","[HR] login to platform","chromium","2026-01-05","passed","2026-01-05","Login Tests","","",""
"","26281","[Director] can see their employee","chromium","2026-01-05","passed","2026-01-05","Director Karyawan Menu Tests","","",""
"","13001","Add new ""pengguna""","chromium","2026-01-05","passed","2026-01-05","Menu Pengguna","","",""
"","19947","[Director] can not provide attendance assesment","chromium","2026-01-05","passed","2026-01-05","Director Karyawan Menu Tests","","",""
"","38519","[Director] login to platform","chromium","2026-01-05","passed","2026-01-05","Login Tests","","",""
"","21284","[HR] can not provide additional assesment","chromium","2026-01-05","passed","2026-01-05","HR Karyawan Menu Tests","","",""
"","12943","Search ""Aspek"" with invalid data","chromium","2026-01-05","passed","2026-01-05","Menu Aspek Penilaian Performa","","",""
"","0","Search 'pengguna' with invalid data","chromium","2026-01-05","skipped","2026-01-05","Menu Pengguna","","",""
"","36274","[Director] can provide assesment employee","chromium","2026-01-05","passed","2026-01-05","Director Karyawan Menu Tests","","",""
"","8376","Search ""peran"" with invalid data","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","8736","Validate ""Hapus Peran""","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","11687","Search ""Aspek"" with valid data","chromium","2026-01-05","passed","2026-01-05","Menu Aspek Penilaian Performa","","",""
"","22040","[HR] can provide attendance assesment","chromium","2026-01-05","passed","2026-01-05","HR Karyawan Menu Tests","","",""
"","20517","[HR] can see their employee","chromium","2026-01-05","passed","2026-01-05","HR Karyawan Menu Tests","","",""
"","0","Change Password 'Pengguna'","chromium","2026-01-05","skipped","2026-01-05","Menu Pengguna","","",""
"","31478","Validate menu ""Aspek Penilaian""","chromium","2026-01-05","passed","2026-01-05","Menu Aspek Penilaian Performa","","",""
"","9205","Validate ""Edit Peran""","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","50287","[Supervisor] login to platform","chromium","2026-01-05","broken","2026-01-05","Login Tests","","",""
"","16764","[Supervisor] can not provide additional assesment","chromium","2026-01-05","passed","2026-01-05","Supervisor Karyawan Menu Tests","","",""
"","20743","[HR] can provide assesment employee","chromium","2026-01-05","passed","2026-01-05","HR Karyawan Menu Tests","","",""
"","12860","Add new ""peran & akses""","chromium","2026-01-05","passed","2026-01-05","Menu Peran & Akses","","",""
"","22573","[Supervisor] can provide assesment employee","chromium","2026-01-05","passed","2026-01-05","Supervisor Karyawan Menu Tests","","",""
"","18576","[Supervisor] can not provide attendance assesment","chromium","2026-01-05","passed","2026-01-05","Supervisor Karyawan Menu Tests","","",""
